vehicle_id,day,maintenance_strategy,days_since_last_maintenance,maintenance_interval,last_maintenance_cost,engine_health,tire_wear,oil_quality,predicted_speed,predicted_fuel_efficiency,predicted_maintenance_cost,risk_level,vehicle_age,unexpected_failures,maintenance_quality_score
7,1,2,23,16,218.49407080069813,30.0,100.0,20.0,13.001767231560446,22.4,-305.4430814731081,6.92,7,0,96.4385327187986
4,1,1,47,59,222.3662040206443,30.0,79.84117043823774,20.0,45.77036938175267,24.02,-55.0180886663681,21.11,4,0,55.103462519278445
8,1,2,7,31,143.4878506725599,73.10972420782343,17.655276565462515,68.32555922468939,61.27741507583544,34.46,-350.0,13.43,13,0,97.68848551003954
5,1,0,88,68,239.36773081713545,30.0,100.0,20.0,10.676973055714024,13.6,428.2473270403616,72.69,15,1,73.30409996419664
10,2,0,42,90,274.2141892202939,54.689786552859466,46.09360368634103,45.9663571778583,48.03853472108006,22.66,176.49435514554963,36.86,8,0,79.60187304502546
3,2,1,40,57,182.6345034415439,30.0,72.49763065961344,20.0,50.50824431827944,23.59,-9.402398680450489,33.82,13,0,58.14097890617032
7,3,2,27,16,194.8898972676925,30.0,100.0,20.0,13.579383245301354,22.53,-337.205968039964,4.69,5,0,85.60668921583041
8,3,0,51,115,380.3559385041507,56.61684466717891,47.47924613177378,46.001887675528046,45.58991020024364,22.7,277.4549086822541,41.68,7,0,74.87942702377279
5,3,2,26,29,91.91838373901368,30.0,90.53948481832764,20.0,33.16477205108917,22.61,-350.0,14.57,10,0,80.48996896535304
4,3,0,72,107,288.3407604009052,31.53151531843151,64.39735062046728,20.0,37.71563182427487,17.39,286.78676068666914,55.68,3,1,68.51656417633703
8,4,2,7,39,110.90240742695153,78.37396920226686,15.315922707256275,82.63239264759365,60.88957472544893,34.46,-350.0,6.8,7,0,90.98260672554343
8,4,0,83,95,204.884446860882,30.0,88.64872569832696,20.0,27.04833667274253,14.67,327.9682930764376,68.95,11,1,64.35488348767886
3,4,0,39,67,439.5557524080361,39.16587782781324,61.50835115600504,31.74702378683071,41.10318050853927,17.26,448.0973450129055,52.01,11,1,73.41668080661641
6,4,1,30,38,108.3830433432515,30.0,78.10364624134418,20.0,47.06748837530968,24.32,-104.39227345265076,18.59,8,0,59.108718144315205
5,5,0,95,117,296.71400656574247,30.0,78.77958548785712,20.0,30.13169933818394,14.46,335.4892832610044,68.64,5,1,59.350694855451245
2,5,0,70,117,208.87127951828137,41.18039501631736,63.49917589816583,31.276732115705755,39.41545063324682,17.67,164.06361258170494,47.87,4,0,50.094227181443664
8,7,0,53,96,457.7655754874659,46.752465282337056,56.901016250841685,36.83894377308855,40.06078267916325,19.57,369.1354188925646,43.92,8,0,55.22730204936138
6,7,2,7,30,174.696887256756,75.29168651198181,22.814188206164097,69.3123581927884,66.0181483456191,33.57,-350.0,6.19,8,0,93.63497288180322
2,7,1,39,42,146.27612727536962,30.0,92.73614480993588,20.0,38.985000902262016,22.17,-30.42610578862389,29.81,3,1,63.25239474913121
5,7,0,86,98,325.84955050823174,30.0,84.79766672018029,20.0,23.30530428416076,14.93,246.57064570313304,44.9,6,0,79.52703497703303
1,7,1,39,55,246.2972719406232,30.0,72.17711720973935,20.0,48.11532291270615,23.65,-45.56963233503646,18.29,5,0,61.87123890721378
10,8,1,44,49,291.6236017838868,30.0,88.38334347277583,20.0,42.49452802113357,22.02,-53.92149958940741,14.67,2,0,71.45559364340724
6,8,0,48,76,227.1561014858966,33.64369174048409,68.1143465035856,24.55565659139249,40.47064152109342,16.34,237.1488650253821,37.82,8,0,58.457571287141874
9,8,1,17,32,277.236354425869,42.97363113740783,52.92683515261888,31.818041503065487,56.15789828461455,26.93,13.170338367532366,23.18,12,0,60.91428923422801
1,8,0,55,96,477.0064399586216,46.54517301021323,57.1505227285628,26.93268575246175,40.39877972329384,19.36,455.9808017529386,52.7,14,0,55.72177962772684
10,9,0,59,78,470.7471905862232,30.0,76.29954351513236,20.0,29.58558048223326,15.86,397.0245607169778,37.38,6,0,60.41187105498185
3,9,1,16,41,227.082871372382,62.81431100518788,43.19195027508991,54.58854129488635,65.1002499148638,29.78,-110.5521154192122,10.59,2,0,66.41712561261929
7,9,0,96,88,370.4372290521477,30.0,100.0,20.0,18.2311518754344,13.07,354.307885295425,56.59,12,0,79.75318642937748
4,9,1,10,56,180.6421266367645,84.04332602695163,17.36844355512127,78.47157777829361,74.17669296555103,32.67,-148.01672872260093,14.2,5,0,69.92605139215357
9,9,1,45,36,250.4795764607576,30.0,100.0,20.0,26.519004716565757,21.92,-24.10321031305176,14.1,1,0,55.97737863224942
3,10,0,54,87,335.9529064228262,33.488443018633035,62.931320505049,21.509639754803032,35.52434276011773,17.4,331.20633717567694,49.36,12,0,51.34884324774654
5,11,1,46,38,235.4876142456589,30.0,100.0,20.0,31.91566329196692,23.34,58.15607246331723,26.62,10,0,53.79069443943532
3,11,0,30,87,299.9602663470784,62.92527954004208,31.405916348533164,59.78501574509949,50.162601138192606,25.33,216.01347126208023,32.72,6,0,66.87665603819141
7,11,2,19,20,204.35439888733364,30.0,94.63936263454892,20.0,32.94125151762983,21.64,-294.0867607577873,13.73,13,0,96.84461492687896
5,11,1,46,58,264.89430352090983,30.0,76.76853069781195,20.0,49.92511242217219,22.82,-6.941770201566328,30.22,12,0,78.21257621902241
